Year,Quarter,Revenue_AMZN,Cost of revenue_AMZN,Net income_AMZN,Earnings per share_AMZN,Current assets_AMZN,Total assets_AMZN,Current liabilities_AMZN,Shareholders' equity_AMZN,Depreciation & Amortization_AMZN,Cash generated by operating activities_AMZN,Cash at end of period_AMZN,Revenue_AMD,Cost of revenue_AMD,Net income_AMD,Earnings per share_AMD,Current assets_AMD,Total assets_AMD,Current liabilities_AMD,Shareholders' equity_AMD,Depreciation & Amortization_AMD,Cash generated by operating activities_AMD,Cash at end of period_AMD,Revenue_AAPL,Cost of revenue_AAPL,Net income_AAPL,Earnings per share_AAPL,Current assets_AAPL,Total assets_AAPL,Current liabilities_AAPL,Shareholders' equity_AAPL,Depreciation & Amortization_AAPL,Cash generated by operating activities_AAPL,Cash at end of period_AAPL,Revenue_CSCO,Cost of revenue_CSCO,Net income_CSCO,Earnings per share_CSCO,Current assets_CSCO,Total assets_CSCO,Current liabilities_CSCO,Shareholders' equity_CSCO,Depreciation & Amortization_CSCO,Cash generated by operating activities_CSCO,Cash at end of period_CSCO,Revenue_GOOGL,Cost of revenue_GOOGL,Net income_GOOGL,Earnings per share_GOOGL,Current assets_GOOGL,Total assets_GOOGL,Current liabilities_GOOGL,Shareholders' equity_GOOGL,Depreciation & Amortization_GOOGL,Cash generated by operating activities_GOOGL,Cash at end of period_GOOGL,Revenue_IBM,Cost of revenue_IBM,Net income_IBM,Earnings per share_IBM,Current assets_IBM,Total assets_IBM,Current liabilities_IBM,Shareholders' equity_IBM,Depreciation & Amortization_IBM,Cash generated by operating activities_IBM,Cash at end of period_IBM,Revenue_INTC,Cost of revenue_INTC,Net income_INTC,Earnings per share_INTC,Current assets_INTC,Total assets_INTC,Current liabilities_INTC,Shareholders' equity_INTC,Depreciation & Amortization_INTC,Cash generated by operating activities_INTC,Cash at end of period_INTC,Revenue_NVDA,Cost of revenue_NVDA,Net income_NVDA,Earnings per share_NVDA,Current assets_NVDA,Total assets_NVDA,Current liabilities_NVDA,Shareholders' equity_NVDA,Depreciation & Amortization_NVDA,Cash generated by operating activities_NVDA,Cash at end of period_NVDA,Revenue_TXN,Cost of revenue_TXN,Net income_TXN,Earnings per share_TXN,Current assets_TXN,Total assets_TXN,Current liabilities_TXN,Shareholders' equity_TXN,Depreciation & Amortization_TXN,Cash generated by operating activities_TXN,Cash at end of period_TXN,Revenue_XYZ,Cost of revenue_XYZ,Net income_XYZ,Earnings per share_XYZ,Current assets_XYZ,Total assets_XYZ,Current liabilities_XYZ,Shareholders' equity_XYZ,Depreciation & Amortization_XYZ,Cash generated by operating activities_XYZ,Cash at end of period_XYZ,Stock price_AMZN,Stock price_AMD,Stock price_AAPL,Stock price_CSCO,Stock price_GOOGL,Stock price_IBM,Stock price_INTC,Stock price_NVDA,Stock price_TXN,Stock price_WMT
2011,3,9913,7525,191,0.41,11279,17941,8045,7765,244,423,2047,1574,854,61,0.08,3438,5224,1312,1641,168,6,554,24667,14449,5987,6.4,46997,94904,24327,61477,790,15992,15978,10866,4207,1807,0.33,55204,85350,16110,47163,1813,7255,6635,9026,3172,2505,7.68,46442,64861,7798,51991,648,6691,10320,26666,14282,3664,3.0,46937,113474,39843,23127,1816,8071,11714,13032,5130,2954,0.54,23102,66089,10354,48723,2535,7984,4635,1017,491,287,0.25,3318,4864,960,3689,100,254,533,3458,1705,672,0.56,10860,17098,1753,10903,444,1147,4501,9931.45,8347.4,217.18,0.36,11432.1,19399.1,7271.3,7676.73,247.71,432.87,2173.86,209.49,7.11,42.9574,13.757,260.7758,132.9189,17.4228,13.4278,26.9055,188.77520677558917
2011,4,10876,8325,63,0.14,11904,19054,8978,7766,278,797,2823,1690,934,97,0.13,3412,5236,1855,1744,247,195,625,28571,16649,7308,7.79,46898,106758,26859,69343,1271,27100,12091,11256,4366,1777,0.33,57267,86964,17461,47188,621,2333,4747,9720,3378,2729,8.33,50042,69088,8888,54830,1011,10641,10630,26157,13984,3839,3.19,45373,110158,36028,22291,2701,12750,11303,14233,5215,3468,0.65,26698,70551,11909,46117,3808,14333,7057,1066,509,178,0.29,3500,5089,887,3973,152,499,567,3466,1722,601,0.51,7716,20907,3668,11026,657,2285,1581,11901.88,7631.62,55.46,0.13,11040.26,19485.38,8533.58,8004.31,241.39,796.79,2489.92,211.98,4.53,42.7954,13.8719,248.00799999999998,132.5417,16.1014,12.9578,21.3299,213.98912430020232
2012,2,13185,10027,130,0.28,12154,20339,10488,7271,457,-2438,2288,1585,1558,-590,-0.8,3195,4988,2347,1052,63,107,1193,46333,25630,13064,13.87,54771,138681,34607,90054,721,17554,10310,11527,4462,2182,0.4,59298,89259,17598,49246,1185,5434,8561,10645,3789,2890,8.75,56859,77144,9742,61712,378,3694,23108,24673,13555,3066,2.61,48847,115347,38209,20701,847,4291,11835,12906,4641,2738,0.53,25421,71817,11941,46760,1519,2972,4429,925,462,60,0.1,4032,5708,947,4287,54,-9,369,3121,1590,265,0.22,7591,20009,2909,11071,243,449,1193,13921.06,8714.77,131.92,0.37,13885.61,22978.17,11588.43,7702.88,465.82,-2575.34,2227.49,198.05,8.2,51.2694,15.6667,323.7838,161.4846,22.5364,12.1929,27.1017,248.28804259760207
2012,3,12834,9488,7,0.01,11793,21022,10964,7505,485,594,2335,1413,775,37,0.05,3233,5041,2352,1117,128,188,1015,39186,20622,11622,12.3,50712,150934,32036,102498,1461,31531,10121,11588,4419,2165,0.4,61212,91154,17124,51357,1816,8403,6461,10964,1029,2785,8.42,53857,86051,14028,64721,851,7946,15437,25783,13502,3881,3.34,47392,113832,38903,20472,1706,8726,10864,13501,4947,2827,0.54,25785,72352,10538,48779,3091,7711,5223,1044,504,119,0.19,4214,5892,1022,4454,111,192,500,3335,1684,446,0.38,7353,19521,3821,11158,484,1124,1192,12168.53,9097.79,7.3,0.01,13023.61,18461.71,13091.03,10412.39,528.8,484.75,2530.23,229.32,5.75,77.1267,15.8691,290.5255,151.6017,21.331999999999997,12.3404,23.166999999999998,241.0406330830471
2012,4,13806,10319,-274,-0.6,13118,22834,12605,7553,554,943,2980,1269,877,-157,-0.21,2815,4612,1555,989,194,-52,776,35023,20029,8824,9.32,51943,162896,33060,111746,2296,41720,7945,11876,4637,2092,0.39,57907,92643,17114,52686,612,2465,4773,11526,2114,2176,6.53,56821,89730,14434,68028,1358,11950,16260,24747,13016,3824,3.33,48141,115778,39499,21541,2572,13240,11909,13457,4942,2972,0.58,23014,74441,11953,49269,4716,12858,3520,1204,567,209,0.33,4425,6075,991,4723,168,373,525,3390,1650,784,0.67,8584,20514,3425,11403,725,2326,1210,13642.8,12294.39,-274.99,-0.63,13499.41,19864.88,10666.7,6228.68,587.52,965.8,2962.88,252.01,3.28,73.8714,14.0759,381.2713,163.6309,18.3641,11.5662,22.7612,244.70678110270504
2013,2,16070,11801,82,0.18,16313,28377,14332,8432,700,-2372,4481,1088,643,-146,-0.19,2338,3797,1321,415,66,-155,441,54512,33452,13078,13.81,72348,196088,46879,127346,1588,23426,16154,12098,4755,3143,0.59,60725,96378,17950,55515,1223,5814,6847,12951,808,3324,9.94,62808,96692,13252,75473,584,3633,15375,23408,12730,3032,2.7,48949,117258,42122,19092,822,4023,10585,12580,5514,2045,0.4,28677,83083,11798,51194,1682,4285,5698,955,436,78,0.13,4607,6280,926,4825,60,176,561,2885,1511,362,0.32,8205,19701,3110,10952,228,360,1393,11956.59,12015.4,74.98,0.16,13778.05,26285.94,11409.04,8326.77,740.25,-2494.3,4089.12,261.61,2.44,69.0573,16.8687,400.996,166.5365,17.6569,12.7388,29.4727,272.2774510969964
2013,3,15704,11209,-7,-0.02,16285,29623,14735,8733,756,880,3704,1161,702,-74,-0.1,2458,3897,1451,359,125,-190,334,43603,27254,9547,10.09,63337,194743,35508,135490,3280,35930,12053,12216,4705,2478,0.46,61417,97084,21063,56788,1760,8908,5122,13107,868,2554,9.54,66861,101182,15329,78852,1331,8338,16164,24924,12792,3226,2.91,47911,115153,41037,17756,1632,7197,9558,12811,5341,2000,0.39,29048,85661,11389,53840,3394,9007,3778,977,432,96,0.16,3923,5570,936,4172,122,272,591,3047,1477,660,0.58,8038,19398,2802,11068,449,1035,1180,16017.01,9615.24,-7.21,-0.02,14498.25,28252.03,13247.31,8745.4,794.36,928.2,3458.48,282.1,4.1,54.2629,16.6376,444.3844,150.6941,19.8692,13.7321,29.7285,319.60657070473343
2013,4,17092,12366,-41,-0.09,17334,31861,16135,9087,834,1388,3872,1461,940,48,0.06,2939,4317,1762,434,182,-169,543,35323,22299,6900,7.47,68219,199856,36319,123354,4974,43758,11248,12085,4678,1996,0.37,62796,100741,21728,58897,591,2649,5254,13754,1004,2955,8.75,68858,105068,14475,82989,2024,13421,15242,23720,12341,4041,3.68,47533,117845,39222,19877,2457,10957,10072,13483,5069,2950,0.58,31350,90551,13875,55452,5123,14738,4881,1054,470,119,0.2,4050,5711,986,4321,184,434,562,3244,1465,629,0.56,8101,19244,2723,11051,666,2185,1435,21208.85,13323.45,-42.79,-0.09,21453.05,28001.06,17810.66,8197.35,685.07,1384.44,3704.46,320.95,3.86,52.1145,18.6907,443.9439,147.5678,19.1734,14.3858,34.5232,311.7147050608206
2014,2,19741,14055,108,0.23,19327,36364,18357,10328,1010,-2502,5074,1397,910,-20,-0.03,2690,4108,1384,511,53,-204,554,57594,35748,13072,14.5,80347,225184,53769,129684,2144,22670,14077,11155,5204,1429,0.27,60689,98427,22944,56069,1203,5522,5339,15420,5961,3650,5.04,75314,116526,16270,91711,816,4391,16639,22484,11941,2384,2.29,47959,122646,41058,16607,802,3326,9409,12764,5151,1930,0.38,30554,91932,13552,58038,1720,3501,4777,1103,499,137,0.24,5274,6865,898,4167,55,151,509,2983,1376,487,0.44,8360,18935,2471,10620,213,462,1565,19697.42,12847.81,89.01,0.22,18225.63,37261.44,21720.88,10049.14,1187.03,-1979.53,5522.73,342.99,4.07,71.3207,17.9823,568.013,155.6726,22.2417,17.6805,41.2034,413.8225317658266
2014,3,19340,13399,-126,-0.27,18755,37898,18751,10602,1109,862,5057,1441,943,-36,-0.05,2932,4246,1505,501,106,-232,503,45646,27699,10223,11.62,70541,205989,43208,120179,4031,36208,18949,11545,4539,2181,0.42,64288,101856,18515,55787,1811,8720,6241,15955,6114,3490,4.99,77905,121608,17097,95749,1629,10018,19620,24364,12389,4137,4.12,48182,124314,42433,17377,1628,6905,9715,13831,4914,2796,0.55,29006,91793,12251,59247,3600,8954,3049,1103,484,128,0.22,5378,6934,869,4305,111,247,515,3292,1411,683,0.62,7456,17810,1803,10466,426,1237,1216,20333.27,11349.81,-126.29,-0.23,16449.5,24465.53,21200.25,10691.21,1064.49,886.61,4874.89,332.39,4.22,70.2585,19.3647,591.49,150.018,26.7398,16.9202,42.3095,351.6320688202706
2014,4,20579,14627,-437,-0.95,18572,40419,20842,10336,1247,1766,5258,1429,935,17,0.02,3020,4325,1566,535,155,-214,640,37432,22697,7748,1.28,67949,222520,46205,120940,5977,46463,12977,12245,4912,1828,0.35,66396,103978,20056,56708,596,2491,4387,16523,6695,2998,4.09,80115,125781,17920,98815,2513,16012,15605,22397,11523,18,0.02,47163,118911,42306,14255,2428,10809,9561,14554,5096,3317,0.66,27509,90616,14904,56073,5491,14647,3143,1225,549,173,0.31,5341,6886,934,4205,166,463,395,3501,1457,826,0.76,7756,17900,2643,10471,639,2620,1306,21681.6,16105.41,-399.76,-0.95,19758.51,43820.45,21371.93,8708.27,1328.65,1880.64,5816.75,317.46,3.35,85.3889,21.0028,579.63,151.5692,29.533,19.0894,41.1656,326.5653386007118
2015,2,22717,15395,-57,-0.12,25922,50075,23177,10873,1426,-1499,10237,1030,704,-180,-0.23,2497,3428,1292,17,46,-173,677,74599,44858,18024,3.06,83403,261894,73611,123328,2575,33722,19478,11936,4846,2397,0.46,67882,104922,20034,57718,1224,5374,4797,17258,6356,3586,5.2,80313,133400,14336,108448,938,6617,16976,19590,10138,2328,2.35,46316,112037,35640,12141,670,3610,8796,12781,5051,1992,0.41,26466,89566,15035,54924,1848,4415,4244,1151,498,134,0.24,5832,7291,883,4556,54,246,464,3150,1334,656,0.61,7692,17346,2286,10369,203,609,1242,18924.95,13466.24,-56.2,-0.13,30766.19,49849.48,20048.04,11619.92,1722.55,-1598.55,8388.67,370.26,2.69,100.7559,23.083000000000002,549.49,130.6957,27.1388,22.0333,50.3105,388.4623604858925
2015,3,23185,15160,92,0.19,26391,52440,23912,11768,1504,1997,10269,942,710,-181,-0.23,2451,3381,1399,-141,91,-231,829,58010,34354,13569,2.33,67891,261194,58729,129006,5054,52803,14489,12137,4612,2437,0.47,69331,106212,23245,58823,1791,8414,3870,17727,6583,3931,4.93,84164,138807,17362,111783,1949,13602,18453,20813,10423,3449,3.5,45186,112729,35535,13684,1335,7494,8393,13195,4947,2706,0.55,26710,90492,13529,57695,3825,7855,4454,1153,519,26,0.05,5608,6979,936,4185,103,409,435,3232,1351,696,0.65,8060,17532,3193,10205,401,1429,1184,25310.21,15064.63,81.27,0.19,25629.11,55656.68,20732.81,12088.76,1369.18,2274.24,9244.11,437.39,2.42,114.9577,25.2535,543.3,137.126,26.7761,19.7418,46.4751,435.8250988696829
2015,4,25358,16755,79,0.17,28849,56230,26657,12430,1599,2610,10709,1061,822,-197,-0.25,2466,3229,1449,-336,133,-290,755,49605,29924,10677,1.85,70953,273151,65285,125677,8138,67791,15319,12682,4850,2430,0.48,73946,111773,22100,59977,507,2766,5758,18675,7037,3979,5.73,88103,144281,18457,116241,2979,19609,18068,19280,9844,2950,3.01,42112,108649,33732,13294,1981,11729,9480,14465,5354,3109,0.64,36205,98552,15080,57097,5885,13590,7065,1305,571,246,0.44,5834,7174,855,4465,151,664,471,3429,1432,798,0.76,7289,16540,2500,9970,594,2838,1133,29797.14,16762.52,51.28,0.16,33722.3,48838.22,30563.95,11580.71,1835.18,2717.7,12720.86,520.72,1.74,117.6212,25.3363,642.0,120.6965,26.8375,28.041999999999998,43.6648,505.05783360832527
2016,2,29128,18866,513,1.07,30513,61128,28187,14756,1827,-2160,12470,832,563,-109,-0.14,2226,2981,1328,-503,33,-42,716,75872,45449,18361,3.28,76219,293284,76092,128267,2954,27463,16689,11927,4495,3147,0.62,75005,112642,22799,60871,1005,6688,6314,20257,7648,4207,6.02,90955,149747,17684,123569,1155,7658,15111,18684,9999,2014,2.09,47623,118856,34664,14925,677,5645,14354,13702,5572,2046,0.42,27397,105467,17526,61174,1619,4055,3061,1305,554,196,0.33,5790,7108,2377,4196,45,309,547,3008,1184,668,0.65,6659,15686,2420,9782,161,547,1281,33301.84,20090.71,468.6,1.04,32302.95,57638.35,30366.01,15306.71,1905.52,-2083.32,12660.4,598.5,2.83,98.7422,20.8388,769.67,130.7271,29.491,35.4369,52.9675,517.9670229787996
2016,3,30404,19180,857,1.78,32220,65076,29587,16538,1909,3465,12521,1027,708,69,0.08,2506,3316,1581,-413,66,-127,957,50557,30636,10516,1.9,87592,305277,68265,130457,5431,39064,21514,12000,4279,2349,0.46,78571,118654,24003,62358,1546,9752,8895,21500,8130,4877,7.0,94238,154292,17341,127879,2426,16778,13627,20238,10536,2504,2.61,43524,118056,33585,15733,1382,9088,10017,13533,5560,1330,0.27,31188,109831,18711,61367,3141,7900,3885,1428,602,253,0.4,6156,7461,2407,4480,92,493,426,3273,1270,779,0.76,6689,15693,1991,9962,316,1616,1235,32804.65,17753.06,855.43,1.64,27879.65,63939.36,30737.18,13765.85,2242.54,3297.96,14718.62,725.68,5.07,103.6506,24.5134,710.25,133.1068,30.0208,55.9876,57.141999999999996,745.2331563122374
2016,4,32714,21260,252,0.52,35609,70897,33498,17782,2084,4486,13656,1307,1248,-406,-0.5,2824,3616,1473,385,99,-98,1258,42358,26252,7796,1.42,93761,305602,71486,126541,7957,49698,18237,12352,4468,2322,0.46,83141,126287,23217,63406,599,2730,8583,22451,8699,5061,7.25,98546,159948,14323,134103,3803,26623,9406,19226,10213,2853,2.98,41433,115606,34447,17010,2106,13301,9039,15778,5795,3378,0.69,36216,112217,20093,63115,4684,13658,4752,2004,821,542,0.83,8307,9612,2041,5324,140,951,1940,3675,1395,968,0.94,7181,16216,2170,10286,466,3029,1369,32766.77,19653.21,222.52,0.46,30168.81,68902.94,28381.33,14255.46,2124.08,4577.66,10843.39,836.74,6.95,90.9134,27.7752,800.38,138.8917,34.7833,68.27199999999999,64.4316,735.6738070252451
