Year,Month,Day,AMZN,AMD,AAPL,CSCO,GOOGL,IBM,INTC,NVDA,TXN
2008,1,3,-1.04,-0.37,0.0113,0.1638,0.0701,0.1482,-0.4698,-0.2396,-0.5296
2008,1,4,-6.42,-0.52,-1.8552,-0.4913,-14.1792,-2.6603,-1.382,-2.5344,-0.8279
2008,1,7,0.03,-0.17,-0.3004,0.0078,-3.8788,-0.7621,0.1451,-2.857,-0.0298
2008,1,8,-0.94,-0.08,-0.7967,-0.5458,-8.7938,-1.7359,-0.4284,0.5253,0.0074
2008,1,9,-2.66,-0.47,1.0161,0.6316,10.7707,0.5081,0.3386,1.3087,-0.0149
2008,1,10,-0.96,0.43,-0.1721,0.0,-3.2382,1.1361,-0.1451,-0.553,-0.0373
2008,1,11,-3.18,0.29,-0.6645,-0.2885,-4.2442,-1.5877,-0.38,-1.1428,-0.3953
2008,1,14,1.79,0.16,0.7593,0.3275,7.7927,3.7116,0.7531,1.6589,0.3729
2008,1,15,-2.63,-0.29,-1.2143,-0.3431,-8.0931,-0.7762,-0.2695,-1.9538,-0.5072
2008,1,16,0.11,0.45,-1.1719,-0.5459,-10.8608,-0.1411,-1.9416,-2.7832,-0.164
2008,1,17,-0.23,-0.23,0.1558,-0.6394,-7.5876,-0.374,-0.38,-0.3779,-0.1567
2008,1,18,-0.36,0.73,0.0586,-0.0234,-0.2703,1.623,-0.228,1.4193,0.1268
2008,1,22,-1.28,-0.24,-0.7131,-0.6395,-7.9579,-1.5383,-0.2695,-1.1428,-0.358
2008,1,23,-4.51,0.73,-2.0659,0.4289,-17.8829,3.4435,0.9466,0.3963,0.9846
2008,1,24,3.7,0.02,-0.4326,0.8422,12.9479,0.5716,0.4906,1.6957,0.0895
2008,1,25,-0.07,-0.43,-0.6969,-0.7096,-4.049,-1.6865,-0.4768,-0.8478,-0.4699
2008,1,28,-1.78,0.31,0.0,-0.078,-5.2152,0.3246,0.2004,-0.2765,0.3953
2008,1,29,-1.87,0.15,0.1907,-0.0312,-2.7328,0.7903,0.1451,0.7004,0.1122
2008,1,30,0.26,0.0,0.0798,0.234,-1.1261,-0.3175,0.1313,-0.2028,0.3592
2008,1,31,3.49,-0.02,0.3965,0.1091,8.023,1.0302,0.2833,-0.5529,0.0749
2008,2,1,-3.07,0.41,-0.2007,0.3431,-24.2242,1.3902,0.463,2.092,0.4265
2008,2,4,-0.68,-0.08,-0.2619,-0.8733,-10.2452,-0.8115,-0.3939,-0.7741,-0.2694
2008,2,5,-1.86,-0.71,-0.2855,-0.4367,5.6907,-2.0535,-0.6618,-1.5022,-1.0626
2008,2,6,-3.6,-0.47,-0.9176,-0.1404,-2.5476,-0.7296,-0.139,-0.0738,-0.1871
2008,2,7,2.42,-0.15,-0.0947,0.2339,1.6216,-0.8854,0.0903,0.2212,-0.2096
2008,2,8,2.59,-0.25,0.5286,0.1248,5.8759,0.6588,0.153,0.4055,0.2919
2008,2,11,1.69,-0.06,0.495,-0.0156,2.2373,1.3246,0.285,0.0737,0.4191
2008,2,12,-0.74,0.13,-0.5723,-0.0702,-1.5366,0.9846,0.1529,0.8571,0.1122
2008,2,13,3.28,0.29,0.566,0.4913,8.2733,1.3387,0.2155,0.9401,0.4041
2008,2,14,-1.93,-0.17,-0.2418,-0.4133,-1.1862,-1.6221,-0.5213,-4.0643,-0.4714
2008,2,15,-2.84,-0.08,-0.3529,-0.1793,-1.3063,0.0213,-0.2434,-0.3134,-0.0674
2008,2,19,-0.88,0.05,-0.3054,-0.3276,-10.3554,-0.8217,0.0348,-0.3041,-0.2469
2008,2,20,1.56,0.33,0.2044,0.2496,0.0251,2.0188,0.1529,-0.1474,0.3816
2008,2,21,-3.74,0.13,-0.2842,-0.0078,-3.0731,-0.6517,-0.0556,-0.4516,-0.2619
2008,2,22,2.18,-0.25,-0.2593,0.3197,2.4725,0.8075,-0.3336,0.9492,0.1572
2008,2,25,1.19,0.26,0.0349,0.156,-10.6907,1.4238,0.0834,-0.0092,0.1571
2008,2,26,-1.58,0.16,-0.0736,0.2105,-11.1362,3.0458,0.5213,0.1751,0.5762
2008,2,27,-0.82,0.15,0.475,0.6862,4.3394,1.4734,0.0557,0.3226,0.2021
2008,2,28,-3.02,-0.26,0.8665,-0.2261,1.2662,-0.8642,-0.1947,-0.7926,-0.2993
2008,2,29,-3.38,0.19,-0.6096,-0.2105,-2.1071,-0.9775,-0.3615,-0.553,-0.7933
2008,3,3,-2.04,-0.45,-0.4102,0.0078,-7.0871,0.2621,0.0278,-0.2304,-0.0224
2008,3,4,2.91,0.0,0.3603,-0.0858,-6.2162,1.0483,-0.0069,-0.1935,-0.494
2008,3,5,-0.35,0.08,-0.0162,-0.0156,1.5516,-0.2266,0.139,0.2212,0.3593
2008,3,6,-2.25,-0.35,-0.4439,-0.2574,-7.5075,-2.033,-0.2294,-1.2258,-0.4116
2008,3,7,1.35,0.0,0.1646,0.1326,0.3253,1.0059,0.139,-0.2672,0.0748
