,Year,Quarter,Revenue,Cost of revenue,Net income,Earnings per share,Current assets,Total assets,Current liabilities,Shareholders' equity,Depreciation & Amortization,Cash generated by operating activities,Cash at end of period,Stock price,Amazon,AMD,Apple,Cisco,Google,IBM,Intel,Nvidia,TI
Amazon com Inc 2008-2,2008,2,4135.0,3179.0,143.0,0.34,3965.0,5883.0,3551.0,1470.0,65.0,-645.0,1496.0,76.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amazon com Inc 2008-3,2008,3,4063.0,3096.0,158.0,0.37,4236.0,6322.0,3216.0,2230.0,70.0,347.0,1548.0,73.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amazon com Inc 2008-4,2008,4,4264.0,3265.0,118.0,0.27,4430.0,6566.0,3144.0,2527.0,76.0,424.0,1650.0,69.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amazon com Inc 2009-2,2009,2,4889.0,3741.0,177.0,0.41,4775.0,6980.0,3410.0,2918.0,87.0,-585.0,1701.0,73.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amazon com Inc 2009-3,2009,3,4651.0,3518.0,142.0,0.32,5304.0,7675.0,3636.0,3256.0,84.0,468.0,1936.0,81.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amazon com Inc 2009-4,2009,4,5449.0,4176.0,199.0,0.45,6369.0,8972.0,4537.0,3585.0,96.0,799.0,2514.0,91.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amazon com Inc 2010-2,2010,2,7131.0,5501.0,299.0,0.66,7964.0,12042.0,5193.0,5618.0,119.0,-1098.0,1844.0,131.81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amazon com Inc 2010-3,2010,3,6566.0,4957.0,207.0,0.45,8118.0,12397.0,5250.0,5857.0,129.0,250.0,1629.0,110.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amazon com Inc 2010-4,2010,4,7560.0,5786.0,231.0,0.51,9559.0,14162.0,6375.0,6397.0,150.0,855.0,1539.0,153.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amazon com Inc 2011-2,2011,2,9857.0,7608.0,201.0,0.44,11288.0,16882.0,7730.0,7347.0,202.0,-1586.0,2641.0,180.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
