time,Revenue_AMAZON,Cost of revenue_AMAZON,Net income_AMAZON,Earnings per share_AMAZON,Current assets_AMAZON,Total assets_AMAZON,Current liabilities_AMAZON,Shareholders' equity_AMAZON,Depreciation & Amortization_AMAZON,Cash generated by operating activities_AMAZON,Cash at end of period_AMAZON,Revenue_AMD,Cost of revenue_AMD,Net income_AMD,Earnings per share_AMD,Current assets_AMD,Total assets_AMD,Current liabilities_AMD,Shareholders' equity_AMD,Depreciation & Amortization_AMD,Cash generated by operating activities_AMD,Cash at end of period_AMD,Revenue_APPLE,Cost of revenue_APPLE,Net income_APPLE,Earnings per share_APPLE,Current assets_APPLE,Total assets_APPLE,Current liabilities_APPLE,Shareholders' equity_APPLE,Depreciation & Amortization_APPLE,Cash generated by operating activities_APPLE,Cash at end of period_APPLE,Revenue_CISCO,Cost of revenue_CISCO,Net income_CISCO,Earnings per share_CISCO,Current assets_CISCO,Total assets_CISCO,Current liabilities_CISCO,Shareholders' equity_CISCO,Depreciation & Amortization_CISCO,Cash generated by operating activities_CISCO,Cash at end of period_CISCO,Revenue_GOOGLE,Cost of revenue_GOOGLE,Net income_GOOGLE,Earnings per share_GOOGLE,Current assets_GOOGLE,Total assets_GOOGLE,Current liabilities_GOOGLE,Shareholders' equity_GOOGLE,Depreciation & Amortization_GOOGLE,Cash generated by operating activities_GOOGLE,Cash at end of period_GOOGLE,Revenue_IBM,Cost of revenue_IBM,Net income_IBM,Earnings per share_IBM,Current assets_IBM,Total assets_IBM,Current liabilities_IBM,Shareholders' equity_IBM,Depreciation & Amortization_IBM,Cash generated by operating activities_IBM,Cash at end of period_IBM,Revenue_INTEL,Cost of revenue_INTEL,Net income_INTEL,Earnings per share_INTEL,Current assets_INTEL,Total assets_INTEL,Current liabilities_INTEL,Shareholders' equity_INTEL,Depreciation & Amortization_INTEL,Cash generated by operating activities_INTEL,Cash at end of period_INTEL,Revenue_NVIDIA,Cost of revenue_NVIDIA,Net income_NVIDIA,Earnings per share_NVIDIA,Current assets_NVIDIA,Total assets_NVIDIA,Current liabilities_NVIDIA,Shareholders' equity_NVIDIA,Depreciation & Amortization_NVIDIA,Cash generated by operating activities_NVIDIA,Cash at end of period_NVIDIA,Revenue_TI,Cost of revenue_TI,Net income_TI,Earnings per share_TI,Current assets_TI,Total assets_TI,Current liabilities_TI,Shareholders' equity_TI,Depreciation & Amortization_TI,Cash generated by operating activities_TI,Cash at end of period_TI,Stock price_AMAZON,Stock price_AMD,Stock price_APPLE,Stock price_CISCO,Stock price_GOOGLE,Stock price_IBM,Stock price_INTEL,Stock price_NVIDIA,Stock price_TI
2014-04-01,20579,14627,-437,-0.95,18572,40419,20842,10336,1247,1766,5258,1429,935,17,0.02,3020,4325,1566,535,155,-214,640,37432,22697,7748,1.28,67949,222520,46205,120940,5977,46463,12977,12245,4912,1828,0.35,66396,103978,20056,56708,596,2491,4387,16523,6695,2998,4.09,80115,125781,17920,98815,2513,16012,15605,22397,11523,18,0.02,47163,118911,42306,14255,2428,10809,9561,14554,5096,3317,0.66,27509,90616,14904,56073,5491,14647,3143,1225,549,173,0.31,5341,6886,934,4205,166,463,395,3501,1457,826,0.76,7756,17900,2643,10471,639,2620,1306,317.46,3.35,85.3889,21.0028,579.63,151.5692,29.533,19.0894,41.1656
2015-02-01,22717,15395,-57,-0.12,25922,50075,23177,10873,1426,-1499,10237,1030,704,-180,-0.23,2497,3428,1292,17,46,-173,677,74599,44858,18024,3.06,83403,261894,73611,123328,2575,33722,19478,11936,4846,2397,0.46,67882,104922,20034,57718,1224,5374,4797,17258,6356,3586,5.2,80313,133400,14336,108448,938,6617,16976,19590,10138,2328,2.35,46316,112037,35640,12141,670,3610,8796,12781,5051,1992,0.41,26466,89566,15035,54924,1848,4415,4244,1151,498,134,0.24,5832,7291,883,4556,54,246,464,3150,1334,656,0.61,7692,17346,2286,10369,203,609,1242,370.26,2.69,100.7559,23.083000000000002,549.49,130.6957,27.1388,22.0333,50.3105
2015-03-01,23185,15160,92,0.19,26391,52440,23912,11768,1504,1997,10269,942,710,-181,-0.23,2451,3381,1399,-141,91,-231,829,58010,34354,13569,2.33,67891,261194,58729,129006,5054,52803,14489,12137,4612,2437,0.47,69331,106212,23245,58823,1791,8414,3870,17727,6583,3931,4.93,84164,138807,17362,111783,1949,13602,18453,20813,10423,3449,3.5,45186,112729,35535,13684,1335,7494,8393,13195,4947,2706,0.55,26710,90492,13529,57695,3825,7855,4454,1153,519,26,0.05,5608,6979,936,4185,103,409,435,3232,1351,696,0.65,8060,17532,3193,10205,401,1429,1184,437.39,2.42,114.9577,25.2535,543.3,137.126,26.7761,19.7418,46.4751
2015-04-01,25358,16755,79,0.17,28849,56230,26657,12430,1599,2610,10709,1061,822,-197,-0.25,2466,3229,1449,-336,133,-290,755,49605,29924,10677,1.85,70953,273151,65285,125677,8138,67791,15319,12682,4850,2430,0.48,73946,111773,22100,59977,507,2766,5758,18675,7037,3979,5.73,88103,144281,18457,116241,2979,19609,18068,19280,9844,2950,3.01,42112,108649,33732,13294,1981,11729,9480,14465,5354,3109,0.64,36205,98552,15080,57097,5885,13590,7065,1305,571,246,0.44,5834,7174,855,4465,151,664,471,3429,1432,798,0.76,7289,16540,2500,9970,594,2838,1133,520.72,1.74,117.6212,25.3363,642.0,120.6965,26.8375,28.041999999999998,43.6648
2016-02-01,29128,18866,513,1.07,30513,61128,28187,14756,1827,-2160,12470,832,563,-109,-0.14,2226,2981,1328,-503,33,-42,716,75872,45449,18361,3.28,76219,293284,76092,128267,2954,27463,16689,11927,4495,3147,0.62,75005,112642,22799,60871,1005,6688,6314,20257,7648,4207,6.02,90955,149747,17684,123569,1155,7658,15111,18684,9999,2014,2.09,47623,118856,34664,14925,677,5645,14354,13702,5572,2046,0.42,27397,105467,17526,61174,1619,4055,3061,1305,554,196,0.33,5790,7108,2377,4196,45,309,547,3008,1184,668,0.65,6659,15686,2420,9782,161,547,1281,598.5,2.83,98.7422,20.8388,769.67,130.7271,29.491,35.4369,52.9675
2016-03-01,30404,19180,857,1.78,32220,65076,29587,16538,1909,3465,12521,1027,708,69,0.08,2506,3316,1581,-413,66,-127,957,50557,30636,10516,1.9,87592,305277,68265,130457,5431,39064,21514,12000,4279,2349,0.46,78571,118654,24003,62358,1546,9752,8895,21500,8130,4877,7.0,94238,154292,17341,127879,2426,16778,13627,20238,10536,2504,2.61,43524,118056,33585,15733,1382,9088,10017,13533,5560,1330,0.27,31188,109831,18711,61367,3141,7900,3885,1428,602,253,0.4,6156,7461,2407,4480,92,493,426,3273,1270,779,0.76,6689,15693,1991,9962,316,1616,1235,725.68,5.07,103.6506,24.5134,710.25,133.1068,30.0208,55.9876,57.141999999999996
2016-04-01,32714,21260,252,0.52,35609,70897,33498,17782,2084,4486,13656,1307,1248,-406,-0.5,2824,3616,1473,385,99,-98,1258,42358,26252,7796,1.42,93761,305602,71486,126541,7957,49698,18237,12352,4468,2322,0.46,83141,126287,23217,63406,599,2730,8583,22451,8699,5061,7.25,98546,159948,14323,134103,3803,26623,9406,19226,10213,2853,2.98,41433,115606,34447,17010,2106,13301,9039,15778,5795,3378,0.69,36216,112217,20093,63115,4684,13658,4752,2004,821,542,0.83,8307,9612,2041,5324,140,951,1940,3675,1395,968,0.94,7181,16216,2170,10286,466,3029,1369,836.74,6.95,90.9134,27.7752,800.38,138.8917,34.7833,68.27199999999999,64.4316
2017-02-01,35714,22440,724,1.48,39460,80969,37399,21674,2435,-1590,15440,984,653,-73,-0.08,2498,3299,1372,409,34,-299,722,78351,48175,17891,3.36,103332,331141,84130,132390,2987,27056,16371,11580,4304,2348,0.47,83392,126248,22708,63811,1148,6502,10898,24750,9795,5426,7.73,108794,172756,15256,144949,1287,9548,18132,18155,10383,1750,1.85,42889,117495,36481,18327,709,3955,10096,14796,5649,2964,0.61,36058,115648,21305,66844,1625,3898,4934,1937,787,507,0.79,8116,9410,983,6132,47,282,1989,3402,1258,997,0.97,7040,15978,1602,10639,139,795,1073,891.51,14.64,111.287,28.031999999999996,856.75,156.3977,33.891,105.7296,75.3477
2017-03-01,37955,23451,197,0.4,41007,87781,40520,23214,2633,3829,13203,1222,818,-16,-0.02,2511,3370,1449,417,69,-381,760,52896,32305,11029,2.1,101990,334532,73342,134082,5319,39579,15157,11940,4422,2515,0.5,79962,125950,22718,65382,1708,9875,8116,26010,10373,3524,5.01,112386,178621,18685,148286,2711,16951,15711,19289,10495,2331,2.48,45013,120495,35966,18419,1439,7421,11696,14763,5665,2808,0.58,40617,122107,18782,68625,3300,8605,11687,2230,928,583,0.92,8070,9402,1032,5973,96,987,1988,3693,1319,1056,1.03,7511,16438,1877,10708,273,1712,1140,953.66,12.15,138.2805,31.4932,919.46,140.8026,31.5937,163.2575,72.0884
2017-04-01,43744,27549,256,0.52,48578,115267,47072,24658,2912,3851,12767,1643,1070,71,0.07,2699,3586,1591,520,105,-315,879,45408,27920,8717,1.67,112875,345173,81302,132425,7673,47942,18571,12136,4709,2394,0.48,84080,130522,29284,65550,566,3080,11043,27772,11148,6732,9.57,119345,189536,20693,157100,4272,26823,10581,19153,10353,2726,2.92,44742,121636,31697,19627,2231,10991,10915,16149,6092,4516,0.94,33154,127088,20689,70936,4990,14869,9075,2636,1067,838,1.33,8479,9830,1027,6352,145,2144,2802,4116,1460,1285,1.26,7991,16929,2055,10988,406,3434,1296,959.19,12.71,138.658,32.6757,967.47,134.1322,37.1392,205.8285,85.0952
2018-02-01,51042,30735,1629,3.27,50829,126362,48045,31463,3671,-1791,17616,1647,1050,81,0.08,2751,3763,1697,715,44,-86,1051,88293,54381,20065,3.89,143810,406794,115788,140199,2745,28293,27491,11887,4389,-8778,-1.78,86050,131510,35364,51982,1112,7150,17624,31146,13467,9401,13.33,123761,206935,25394,160825,1791,11642,12658,19072,10825,1679,1.81,49122,125285,35733,18166,774,4602,12262,16066,6335,4454,0.93,31630,128596,19961,70165,1806,6284,3554,3207,1139,1244,1.98,9448,11460,1106,7717,57,1445,765,3789,1342,1366,1.35,8590,17507,1860,10642,137,1112,1717,1371.99,9.53,167.7019,39.6516,1012.63,139.9877,47.1315,225.9336,96.6798
2018-03-01,52886,30632,2534,5.07,54481,134100,50801,34995,3630,7449,20536,1756,1104,116,0.11,3099,4103,1868,879,86,-131,956,61137,37715,13822,2.73,130053,367502,89320,126878,5484,43423,45059,12463,4704,2691,0.56,67141,114008,28642,46661,1676,9566,6719,32657,13883,3195,4.54,124157,211610,29903,162000,3653,21774,14148,20003,10804,2404,2.61,46795,121622,35442,18520,1547,6896,10960,16962,6543,5006,1.05,27603,125972,17571,70047,3536,13697,2614,3123,1148,1101,1.76,10831,12882,1462,8795,116,2358,718,4017,1398,1405,1.4,9592,18527,1466,10634,281,2938,2919,1713.78,15.16,162.9311,42.9705,1142.11,131.9119,48.6438,245.3126,106.529
2018-04-01,56576,33003,2883,5.75,59885,143695,55324,39125,3778,8588,21032,1653,992,102,0.09,3314,4347,1878,1125,127,-36,1051,53265,32844,11519,2.34,115761,349197,88548,114949,8149,57911,31971,13072,4926,3549,0.77,55686,105429,26414,43848,465,3763,8486,33740,14281,9192,13.06,129702,221538,31301,169840,5791,34984,13443,18756,9953,2694,2.94,48257,121990,36822,19784,2337,11128,11731,19163,6803,6398,1.38,29590,128242,19574,71483,5420,22532,3407,3181,1260,1230,1.97,11386,13657,1608,9475,184,2845,721,4261,1457,1570,1.58,9468,18573,2382,10516,432,5044,1502,2004.36,31.42,183.6756,44.3957,1208.53,145.8642,45.2838,217.2045,104.6896
2019-02-01,59700,33920,3561,7.09,69431,178102,63695,48410,4854,1846,23507,1272,751,16,0.01,3677,4931,1764,1788,46,-213,983,84310,52279,19965,4.18,140828,373719,108283,117892,3395,26690,44771,12446,4673,2822,0.63,53117,102462,29479,40789,952,7560,9879,36339,16012,6657,9.5,138207,245349,34910,183472,2416,12000,19148,18182,10139,1591,1.78,52705,130926,38871,16481,1143,4759,17272,16061,6972,3974,0.87,29060,129458,18911,73661,2229,4959,3154,2220,924,394,0.64,10629,14021,1183,9704,91,720,2772,3594,1333,1217,1.26,7951,17443,2159,8519,166,1107,3720,1814.1899,26.36,156.0495,46.3957,1198.98,138.3347,53.5203,180.08599999999998,106.4857
2019-03-01,63404,36337,2625,5.22,76790,191351,69678,53061,5202,9118,22965,1531,910,35,0.03,3754,5102,1804,1901,98,-183,968,58015,36194,11561,2.46,123346,341998,93772,105860,6435,37845,39817,12958,4785,3044,0.69,47311,97287,27913,36804,1433,11889,10273,38944,17296,9947,14.21,147437,257101,37000,192192,5042,24627,16587,19161,10151,2498,2.81,77517,154652,42351,17645,2130,7700,45534,16505,6627,4179,0.92,29239,130759,19705,74947,4379,12546,2867,2579,1038,552,0.9,11391,14775,1317,10336,183,1656,7105,3668,1308,1305,1.36,7956,17384,2646,8486,339,2903,3813,1922.1899,31.2,189.7853,54.8163,1100.0,136.6372,47.4665,164.7569,115.6241
